Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\ScheduleController.cs,247,12,T:System.Web.Mvc.JsonResult,,,,,return Json(new { item.starCount });
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\ScheduleController.cs,247,12,M:System.Web.Mvc.Controller.Json(System.Object),,,,,return Json(new { item.starCount });
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\ScheduleController.cs,229,8,T:System.Web.Mvc.ActionResult,,,,,public ActionResult List()
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\ScheduleController.cs,238,16,T:System.Web.Mvc.JsonRequestBehavior,,,,,"return Json(new { message = ""Service currently unavailable."" }, JsonRequestBehavior.AllowGet);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\ScheduleController.cs,238,16,T:System.Web.Mvc.JsonRequestBehavior,,,,,"return Json(new { message = ""Service currently unavailable."" }, JsonRequestBehavior.AllowGet);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\ScheduleController.cs,238,16,F:System.Web.Mvc.JsonRequestBehavior.AllowGet,,,,,"return Json(new { message = ""Service currently unavailable."" }, JsonRequestBehavior.AllowGet);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\ScheduleController.cs,238,16,T:System.Web.Mvc.JsonResult,,,,,"return Json(new { message = ""Service currently unavailable."" }, JsonRequestBehavior.AllowGet);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\ScheduleController.cs,238,16,"M:System.Web.Mvc.Controller.Json(System.Object,System.Web.Mvc.JsonRequestBehavior)",,,,,"return Json(new { message = ""Service currently unavailable."" }, JsonRequestBehavior.AllowGet);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\ScheduleController.cs,237,16,T:System.Web.HttpResponseBase,,,,,Response.StatusCode = 503;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\ScheduleController.cs,237,16,P:System.Web.Mvc.Controller.Response,,,,,Response.StatusCode = 503;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\ScheduleController.cs,237,16,P:System.Web.HttpResponseBase.StatusCode,,,,,Response.StatusCode = 503;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\ScheduleController.cs,233,16,T:System.Web.Mvc.JsonRequestBehavior,,,,,"return Json(new { schedule }, JsonRequestBehavior.AllowGet);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\ScheduleController.cs,233,16,T:System.Web.Mvc.JsonRequestBehavior,,,,,"return Json(new { schedule }, JsonRequestBehavior.AllowGet);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\ScheduleController.cs,233,16,F:System.Web.Mvc.JsonRequestBehavior.AllowGet,,,,,"return Json(new { schedule }, JsonRequestBehavior.AllowGet);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\ScheduleController.cs,233,16,T:System.Web.Mvc.JsonResult,,,,,"return Json(new { schedule }, JsonRequestBehavior.AllowGet);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ContosoConf\ContosoConf.csproj,File,ContosoConf\Controllers\ScheduleController.cs,233,16,"M:System.Web.Mvc.Controller.Json(System.Object,System.Web.Mvc.JsonRequestBehavior)",,,,,"return Json(new { schedule }, JsonRequestBehavior.AllowGet);"
